,sequence,drug,unobstructed,h_bond_bridging,orthogonal_planes
2116,[O-]C(C[N+]1=CN(CC(O)(C(F)(F)F)C(F)(F)F)N=C1)(C(F)(F)F)C(F)(F)F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2117,CC=C1C2C=C(C)CC1(N)C1=C(C2)NC(=O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2118,NC(=O)NC1=CC=CC(Br)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2119,CC(C)N1C=C2SC3=CC=C(Cl)C=C3C2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2120,CC(=O)NC1=CC=CC(C)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2121,COC1=CC=C(OC)C(C=CC(=O)O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2122,O=C(O)C=CC1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2123,CCCC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2124,NC(=O)C1C2=CC=CC=C2C=CC2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2125,CC12CCCCC1=CC(=O)CC2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2126,CC12CCC(=O)C=C1CCCC2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2127,O=[N+]([O-])C1=CC=CC2=NSN=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
2128,NC1=CC=CC2=NSN=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2129,CC1=NN(C2=CC=C(Cl)C(C(=O)O)=N2)C(C)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2130,NC1=C(Cl)C=C(S(N)(=O)=O)C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2131,COC12CCC(C=CC1=O)C2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2132,O=C(C=C(O)C1=CC=CC=C1)C1=CC=C(C2=CC=CC=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2133,O=C(C=C(O)C1=CC=C(C2=CC=CC=C2)C=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2134,N#CCF,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
2135,C1=CC=C2C(=C1)SC1=C2C2=C(C=C1)SC1=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2136,ClC1=CC=C(C=NCCC2=CN=CN2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2137,ClC1=CC=C(C=NCCC2=CNC=N2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2138,COC1=CC=C(C2=C3C4=CC=CC=C4C=C(C4=CC=CC=C4)N3N=N2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2139,COC1=CC=C(C2=CC3=CC=CC=C3C3=C(C4=CC=CC=C4)N=NN23)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2140,O=C(O)C=C(CC(=O)O)C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
2141,CCOC(=O)C(C)NC(C)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2142,NC1=CC(N2CCOCC2)=CC(N)=C1[N+](=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2143,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2144,CCOC(=O)CCN(C(=O)C1=CC=C2C(=C1)N=C(CNC1=CC=C(C#N)C=C1)N2C)C1=CC=CC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2145,CC1=CC=C2C=C(C)C=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2146,CC1=CC=C2C=CC(C)=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2147,COC1=CC=CC=C1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2148,O=C(O)COC1=CC(Cl)=C(Cl)C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2149,NC1=CC=CC=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2150,CC1CCCC(=O)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2151,CC(O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2152,NC1=CC=C(F)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2153,COC(=O)C1=CC=C(NC2=NC(NC3=CC=C(C(=O)OC)C=C3)=NC(N)=N2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2154,NC(=O)C1=CC=C(N)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2155,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CC3OC312,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2156,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2157,C1=CC=C(P(CC2=CC=CN2)C2=CC=CC=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2158,O=P(CC1=CC=CN1)(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2159,NC1=CC=C(Cl)C=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2160,FC(F)(Br)C(F)(F)Br,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
2161,O=C1C2=CC=CC=C2S(=O)(=O)N1I,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2162,O=[N+]([O-])C1=CC(C#CBr)=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2163,CC1=CC=CC=C1C(N)=S,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2164,CC1=CC=CC(C(N)=S)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2165,CC1=CC=C(C(N)=S)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2166,COC1=CC=CC=C1C(N)=S,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2167,COC1=CC=CC(C(N)=S)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2168,COC1=CC=C(C(N)=S)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2169,NC(=S)C1=CC=CC([N+](=O)[O-])=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2170,NC(=S)C1=CC=CC=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2171,NC(=S)C1=CC=CC=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2172,NC(=S)C1=CC=C(Cl)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2173,O=C(O)C1=CC2=C(C([N+](=O)[O-])=C1)C1=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C1C2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2174,COC(=O)C1=CC2=C(C([N+](=O)[O-])=C1)C1=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C1C2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2175,BrC1=CC=C(C(=C(C2=CC=C(Br)C=C2)C2=CC=C(Br)C=C2)C2=CC=C(Br)C=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2176,O=[N+]([O-])C1=CC=C(C#CI)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2177,C1=CC=C(N=NC2=CC=NC=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2178,O=[N+]([O-])C1=CC(C#CI)=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2179,CC1=CC=CC(NC(=O)C=CC2=CC=CC=C2)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2180,COC1=CC=C2C=CC(O)=C(C(=NC3=CC=CC=C3)C3=CC=C(Cl)C=C3)C2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2181,O=C1C2=CC=CC=C2N=C(NC2=CC=CC=C2)N1C1=CC=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2182,S=C(NCC1=CC=NC=C1)C(=S)NCC1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2183,O=C(O)COC1=CC=C(Cl)C(Cl)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2184,COC(=O)C(C)NC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2185,CC1=CC=CC=C1S(N)(=O)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2186,COC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2187,CCC(=O)NC1=CC=C(Br)C=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2188,NC1=NC=C(Br)C=C1Br,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2189,O=C(O)C1=C(O)C=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2190,FC1=C(F)C(F)=C(N=CC2=CC=CC=C2)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2191,FC1=C(F)C(F)=C(C=NC2=CC=CC=C2)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2192,FC1=C(F)C(F)=C(C=NC2=C(F)C(F)=C(F)C(F)=C2F)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2193,C(=NC1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2194,[NH3+]C(CC1=CNC2=CC=CC=C12)C(=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2195,N#CC1=C(C#N)NC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
2196,CC1=CC=C2N=CC=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2197,C1=CC2=NC(=C1)COCC1=CC=C(C=C1)OCCCCCCCCCCOC1=CC=C(C=C1)COC2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2198,O=C1NCC2=CC=C(C=C2)OCCCCCCCCCCOC2=CC=C(C=C2)CNC(=O)C2=CC=CC1=N2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2199,CCCOC(=O)C1=CC=C(O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2200,O=C(O)CCC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2201,CC1CCCCN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2202,NC1=CC=C([N+](=O)[O-])C=C1I,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2203,NC1=CC=C(I)C([N+](=O)[O-])=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2204,NC1=CC=C(Cl)C([N+](=O)[O-])=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2205,NC1=CC=C(F)C([N+](=O)[O-])=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2206,NC1=CC([N+](=O)[O-])=CC=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2207,O=C(O)C1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2208,NC1=CC([N+](=O)[O-])=CC=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2209,O=C(O)C1=CC([N+](=O)[O-])=CC=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
2210,O=C(O)CC=CCC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
2211,CC1=CC=NC2=C1NC(=O)C1=CC=CN=C1N2C1CC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2212,O=C1CCCN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2213,COC1=CC=C(C2CC(=O)C3=C(O)C=C(O)C=C3O2)C=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2214,[NH3+]C(CS)C(=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2215,OC1=CC=CC(F)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
2216,O=C1CCC(C2=CC=C(O)C=C2)(C2=CC=C(O)C=C2)CC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2217,OC1=CC=CC=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
2218,CC1CCC(O)C23OC(C)(C)C(C(O)=CC2=O)C13C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2219,CC1CCC(O)C23OC(C)(C)C(C(=O)C=C2O)C13C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2220,COC1=CC=C(C=O)C=C1OC,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2221,O=C(O)C1=CC=C(O)C(C(=O)O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2222,C(#CC1=CC=C(C#CC2=CC=NC=C2)S1)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2223,C(#CC1=C2C=CC=CC2=C(C#CC2=CC=NC=C2)C2=CC=CC=C12)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2224,CN1C(=O)C2=NC3=C(N=C2N(C)C1=O)N(C)C(=O)N(C)C3=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2225,CSC1=CC=CC=C1C=NC1=C(N)N(C)C(=O)N(C)C1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2226,ON1N=NC2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
2227,COC1=CC=CC=C1C=NNC(=O)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2228,CC1=CN=CN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2229,CC(O)C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2230,O=C([O-])C1=NC=CN=C1C(O)=[OH+],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2231,[O-]C1=C[NH+]=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
2232,N#CCCCCCCCCC#N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2233,C1=CC=C2C(C3=CC=NN3)=C3C=CC=CC3=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2234,C1=CC=C2C(C3=NNC=C3)=C3C=CC=CC3=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2235,CC(=CC1=CC=CC=C1)C=C1SC(=S)N(CC(=O)O)C1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2236,NC1CCCC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2237,CC(C)NC(C)C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2238,CCCNCCC,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2239,CN(C)C1CCCCC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2240,CC(C)(C)CC(C)(C)N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2241,CC(=O)NC1=CC=C2C(C)=CC(C(Br)Br)=NC2=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2242,NC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2243,O=C(O)COC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2244,O=C(O)COC1=CC=C(Cl)C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2245,O=C(O)C1=C2C=CC=CC2=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2246,O=C(O)C1=C2C=CC=CC2=C(C(=O)O)C2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2247,COC1=CC=C(C(N)=O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2248,N#CC1=CC(C(=O)O)=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2249,CC1=CC=C(S(=O)(=O)NCC(=O)O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2250,CCP(=O)(C1=CC=CC=C1)C1=CC=CC=C1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2251,CCCNP1(NCCC)=N[P]2(N=P(NCCC)(NCCC)N1)OCCCN2CC1=CC=C(F)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2252,CC(C)(C)C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2253,CN(C)C1=CC=C(C=CC(=O)O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2254,CC(C)=C1CC2=C(C)C(=O)C3C4C(=O)C(C)(C5=C4C(C)CC4(O)OOC(C)(C)C4=C5)C23C(C)CC1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2255,CC(C)=C1CC2=C(C(C)CC1=O)C1C(=O)C2(C)C23C(=C(C)C(=O)C12)CC(=C(C)C)C(=O)CC3C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2256,CC1=CC(C#N)=CC(C)=C1OC1=NC(NC2=CC=C(C#N)C=C2)=NC(N)=C1Br,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2257,CC1=C(C)N([O])C(C)=C(C)N1[O],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2258,COC1=CC2=C(C=C1OC)C1=CC(OC)=C(OC)C=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2259,COC1=C(OC)C=C2C(=C1)C1=CC(OC)=C(OC)C=C1C1=CC(OC)=C(OC)C=C1C1=C2C=C(OC)C(OC)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2260,C=CCN(C(=O)C1=CC=CO1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2261,O=C(O)C=CC1=C(F)C(F)=C(F)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2262,CC(C)(C)N1CN2CC3=CC=CC(=N3)CN3CN(C(C)(C)C)CN(CC4=CC=CC(=N4)CN(C1)C2=O)C3=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2263,O=C1NCC2=CC=C(C=C2)CNC(=O)C2=CC=CC(=N2)C(=O)NCC2=CC=C(C=C2)CNC(=O)C2=CC=CC1=N2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2264,CN(CC(=O)NCC(=O)OCC(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2265,CC1=CC=C(C2=CC(C(F)(F)F)=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2266,O=C1CCCCCCN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2267,CC1=CC(C)=CC(OCC2CNC(=O)O2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2268,O=C(CC1=CC=CC=[N+]1[O-])N(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2269,O=C(C(O)C1=CC=CC=[N+]1[O-])N(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2270,COC1=CC(C(C)=O)=CC=C1OCCCN1CCC(C2=NOC3=CC(F)=CC=C23)CC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2271,[O]N(C1=CC=CC=C1)N([O])C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2272,CC1=CC(C)=C(C2=CC=CC(C3=C(C)C=C(C)C=C3C)=C2N([O])C2=CC=CC=C2)C(C)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2273,CC1(C)COC(=O)C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2274,N#CC(=CC1=CC=C(O)C=C1)C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2275,CN1C2=CC=CC=C2N(C)C2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2276,CCOC(=O)C(=O)NC1=CC=CC(NC(=O)C(=O)OCC)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2277,CN1C(=S)C2=CC=CC=C2N(C)C(=S)C2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2278,CC(=O)N1N=C(C2=CC=CC=C2)CC1C1=C2C=CC=CC2=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2279,O=C1C=CNC(=S)N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2280,OCC1=CC=C(CO)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2281,NC1CCCC(N)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2282,NC(=S)N1N=C(C2=CC=CC=N2)CC1C1=CC=C(Cl)C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2283,NC(=S)NN=CC1=CC=C(Cl)C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2284,O=C(C=CC1=CC=C([N+](=O)[O-])C=C1)[N+]1=NN([O-])C2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2285,OC1=CC=C2C=C(Br)C=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2286,CN(C)C1CC(C)(C)N([O])C(C)(C)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2287,O=C(O)C1CC=CCC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2288,O=C(O)CNS(=O)(=O)C1=CC=C(C(=O)O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2289,NC1=NC2=CC(Cl)=CC=C2O1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2290,CC1(C)CC(=O)C(=C2C=C(C=CC3=CC=C4C=CC=CC4=C3)N(CCC3=CC=CC=C3)C(C=CC3=CC=C4C=CC=CC4=C3)=C2)C(=O)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2291,CC1=CC=C(C)C(C)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2292,CC1=CN(C2CC(O)C(COC(C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)O2)C(=O)NC1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2293,COC1=C(OC)C2=CC=CC3=C(OC)C(OC)=C4C=CC=C1C4=C23,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2294,[O-][N+]1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
2295,OCCN(CCO)CCO,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2296,[O-][N+](CCO)(CCO)CCO,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2297,O=[N+]([O-])C1=CC=C(N2CCNCC2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2298,N#CSC1=C(SC#N)SC(=C2SC3=C(OCCO3)S2)S1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2299,CC1=CC=NC(C2=CC(C)=CC=N2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2300,C1=CC=C(C2=CC=CC(C3=CC=CC=N3)=N2)N=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2301,CC1(C)CCCC(C)(C)N1[O],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2302,CCC12C=C(C(=O)OC)N3C4=C(CCN(CCC1)C42)C1=CC=CC=C13,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2303,CC1=C(C)C=C2C(=C1)N=C1C(=NC(=O)NC1=O)N2C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2304,CC(C)(O)C#CC1=CC=CC(C#CC(C)(C)O)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
2305,CC(C)(O)C#CC1=CC=CC(Br)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
2306,O=C(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2307,O=C(O)CCCCCCCCCCCBr,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2308,CCOC(=O)C=CC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
2309,CC(NC(=O)C1=CC=CC=C1Br)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
2310,CC(NC(=O)C1=CC=CC=C1Cl)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2311,CC(NC1=CC(Cl)=C(Cl)C=C1Cl)C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2312,CC(OC1=CC(Cl)=C(Cl)C=C1Cl)C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2313,CCCCCC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
2314,CCCCCCC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
